SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,sector,index
TELE,11.42,11.70,12.35,11.51,12.12,0.70,6.13%,"58,072,392","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
FNEL,20.19,20.68,21.60,20.01,20.95,0.76,3.76%,"44,579,133","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
FDPL,6.82,6.71,7.33,6.71,7.12,0.30,4.40%,"39,944,683","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
PIAHCLA,41.61,42.18,43.55,39.50,43.14,1.53,3.68%,"37,813,443","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
WTL,1.83,1.88,1.88,1.82,1.84,0.01,0.55%,"35,327,078","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
PTC,43.92,44.50,46.05,44.04,45.13,1.21,2.76%,"26,029,578","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
CNERGY,7.73,7.86,8.04,7.75,7.86,0.13,1.68%,"22,332,759","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
TPLPNC,10.72,10.68,10.79,10.45,10.53,-0.19,-1.77%,"19,289,830","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
PPL,210.63,213.48,218.90,211.00,217.34,6.71,3.19%,"19,146,182","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
BOP,34.60,35.00,35.00,34.10,34.19,-0.41,-1.18%,"17,743,556","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
